,price
2122,60.0
2124,75.0
2125,142.0
2131,41.0
2132,536.0
2134,45.0
2135,214.0
2136,50.0
2137,150.0
2139,299.0
2140,124.0
2144,75.0
2145,163.0
2147,149.0
2151,80.0
2152,179.0
2153,80.0
2154,80.0
2156,65.0
2160,42.0
2161,195.0
2162,99.0
2170,150.0
2174,115.0
2177,72.0
2178,44.0
2179,79.0
2180,275.0
2181,225.0
2183,60.0
2189,318.0
2190,115.0
2193,125.0
2195,84.0
2196,100.0
2201,117.0
2202,150.0
2203,232.0
2204,278.0
2209,50.0
2213,279.0
2214,96.0
2215,263.0
2216,169.0
2220,110.0
2223,56.0
2225,89.0
2227,225.0
2228,125.0
2232,40.0
2233,136.0
2234,188.0
2237,159.0
2240,42.0
2243,340.0
2246,219.0
2247,125.0
2251,110.0
2253,151.0
2254,251.0
2256,140.0
2257,280.0
2258,72.0
2260,175.0
2262,50.0
2270,66.0
2272,400.0
2273,85.0
2275,59.0
2276,109.0
2277,100.0
2278,150.0
2281,108.0
2282,58.0
2283,40.0
2284,482.0
2289,76.0
2293,80.0
2295,125.0
2299,82.0
2301,65.0
2302,165.0
2303,142.0
2305,289.0
2308,169.0
2310,314.0
2314,130.0
2318,99.0
2323,55.0
2324,110.0
2326,99.0
2329,35.0
2330,78.0
2331,68.0
2332,440.0
2333,193.0
2335,259.0
2339,129.0
2340,400.0
2341,285.0
2342,195.0
2344,92.0
2346,400.0
2348,99.0
2349,42.0
2352,390.0
2353,69.0
2356,200.0
2362,493.0
2364,121.0
2365,51.0
2366,85.0
2368,89.0
2370,95.0
2371,67.0
2373,150.0
2374,100.0
2375,125.0
2379,150.0
2382,99.0
2384,100.0
2385,190.0
2387,81.0
2388,326.0
2390,99.0
2394,73.0
2397,79.0
2399,85.0
2403,100.0
2410,179.0
2414,250.0
2415,150.0
2416,112.0
2419,1394.0
2423,350.0
2424,450.0
2427,750.0
2428,600.0
2429,75.0
2431,80.0
2432,550.0
2433,450.0
2434,200.0
2435,550.0
2441,1914.0
2445,75.0
2446,250.0
2451,65.0
2452,127.0
2455,922.0
2458,56.0
2459,120.0
2463,103.0
2465,107.0
2467,94.0
2468,113.0
2471,155.0
2472,134.0
2474,125.0
2477,249.0
2479,106.0
2480,64.0
2482,80.0
2484,37.0
2485,135.0
2486,98.0
2488,115.0
2492,209.0
2493,107.0
2495,128.0
2498,500.0
2501,866.0
2502,80.0
2504,101.0
2506,79.0
2507,95.0
2510,71.0
2512,65.0
2513,204.0
2514,60.0
2515,65.0
2516,99.0
2519,130.0
2522,89.0
2523,86.0
2525,154.0
2526,120.0
2529,725.0
2530,300.0
2532,179.0
2535,110.0
2539,235.0
2543,250.0
2551,35.0
2552,20.0
2553,62.0
2554,115.0
2555,115.0
2559,184.0
2565,45.0
2566,68.0
2567,69.0
2568,663.0
2569,395.0
2570,159.0
2572,59.0
2574,54.0
2577,105.0
2582,79.0
2583,235.0
2590,119.0
2593,495.0
2594,299.0
2597,90.0
2598,125.0
2599,69.0
2601,50.0
2603,187.0
2605,90.0
2607,79.0
2609,125.0
2612,375.0
2614,165.0
2621,230.0
2625,125.0
2626,130.0
2627,207.0
2628,120.0
2629,428.0
2630,135.0
2635,164.0
2636,95.0
2637,115.0
2638,89.0
2639,165.0
2642,59.0
2645,185.0
2646,125.0
2648,120.0
2649,125.0
2650,105.0
2651,80.0
2653,219.0
2654,75.0
2658,285.0
2660,200.0
2661,55.0
2662,55.0
2663,38.0
2664,886.0
2669,59.0
2672,89.0
2675,95.0
2677,84.0
2678,70.0
2680,340.0
2685,89.0
2687,529.0
2688,60.0
2692,86.0
2693,97.0
2694,96.0
2698,90.0
2699,46.0
2701,50.0
2703,175.0
2710,164.0
2711,139.0
2713,1666.0
2714,375.0
2719,71.0
2720,99.0
2729,629.0
2731,149.0
2739,97.0
2740,149.0
2741,119.0
2744,129.0
2746,160.0
2749,153.0
2751,450.0
2755,240.0
2756,43.0
2758,113.0
2759,63.0
2760,50.0
2761,50.0
2763,282.0
2766,50.0
2767,75.0
2769,550.0
2770,472.0
2773,115.0
2775,103.0
2776,196.0
2777,329.0
2780,178.0
2781,145.0
2783,995.0
2784,200.0
2787,95.0
2788,65.0
2795,73.0
2804,67.0
2808,185.0
2813,143.0
2820,179.0
2821,795.0
2824,75.0
2825,147.0
2826,282.0
2828,450.0
2829,65.0
2833,114.0
2834,125.0
2835,168.0
2836,165.0
2837,200.0
2846,85.0
2847,250.0
2848,111.0
2850,145.0
2853,65.0
2860,120.0
2861,69.0
2864,75.0
2865,109.0
2867,125.0
2868,69.0
2871,92.0
2872,37.0
2873,100.0
2874,247.0
2876,59.0
2877,550.0
2881,1770.0
2883,90.0
2887,70.0
2889,285.0
2890,97.0
2891,208.0
2892,51.0
2894,115.0
2896,200.0
2899,150.0
2900,140.0
2901,91.0
2902,50.0
2903,89.0
2904,84.0
2905,109.0
2906,60.0
2908,132.0
2916,118.0
2921,120.0
2924,149.0
2928,40.0
2931,120.0
2937,205.0
2939,109.0
2941,60.0
2942,136.0
2943,48.0
2946,85.0
2947,50.0
2948,110.0
2949,105.0
2951,100.0
2955,82.0
2959,92.0
2961,350.0
2962,339.0
2964,1000.0
2965,37.0
2967,95.0
2978,133.0
2981,87.0
2983,44.0
2984,74.0
2987,60.0
2989,275.0
2997,51.0
2998,55.0
3002,100.0
3006,130.0
3010,364.0
3012,71.0
3014,240.0
3018,100.0
3019,63.0
3022,183.0
3023,200.0
3026,59.0
3028,120.0
