,latitude,longitude,property_type,accommodates,bathrooms_text,bedrooms,beds
10342,34.08142,-118.36259,Entire house,4,1 bath,2.0,4.0
10344,33.95489,-118.43955,Entire condominium,4,2 baths,2.0,2.0
10345,34.02215,-118.36308999999999,Private room in house,1,1 shared bath,1.0,0.0
10347,33.99787,-118.43625,Private room in apartment,4,1 shared bath,1.0,2.0
10351,34.05272,-118.38649,Private room in apartment,2,1.5 baths,1.0,1.0
10354,34.04603,-118.53036999999999,Entire house,6,2 baths,3.0,4.0
10355,34.12344,-118.32866000000001,Entire house,10,2.5 baths,6.0,10.0
10362,34.05645,-118.25676999999999,Entire apartment,5,2 baths,2.0,4.0
10363,34.04952,-118.25613,Entire condominium,4,1 bath,1.0,2.0
10364,34.064840000000004,-118.29654,Private room in apartment,1,1.5 shared baths,1.0,1.0
10366,34.10342,-118.3582,Entire guesthouse,2,1 bath,1.0,1.0
10371,34.16133,-118.36535,Private room in townhouse,1,1.5 shared baths,1.0,1.0
10382,34.04017,-118.23427,Entire condominium,4,1 bath,1.0,1.0
10383,34.02997,-118.41725,Private room in house,2,1 private bath,1.0,1.0
10386,34.06044,-118.3614,Entire condominium,4,2 baths,2.0,2.0
10389,34.09237,-118.34252,Entire apartment,3,1 bath,1.0,2.0
10391,34.051970000000004,-118.28929,Entire apartment,4,1 bath,1.0,1.0
10392,34.0594,-118.28521,Entire apartment,12,3 baths,4.0,5.0
10399,33.95998,-118.26878,Entire townhouse,8,2 baths,3.0,4.0
10411,34.1003,-118.34177,Entire apartment,2,1 bath,1.0,1.0
10413,34.137890000000006,-118.21888,Entire guest suite,3,1 bath,1.0,2.0
10416,33.994690000000006,-118.47417,Entire house,10,6 baths,5.0,5.0
10419,33.95605,-118.42296999999999,Entire house,2,1 bath,1.0,1.0
10424,34.020790000000005,-118.40798999999998,Entire apartment,4,1 bath,1.0,2.0
10427,33.9959,-118.4641,Entire house,4,1 bath,2.0,2.0
10428,34.06552,-118.3024,Entire apartment,2,1 bath,1.0,1.0
10429,34.100190000000005,-118.31788,Entire townhouse,10,2 baths,3.0,7.0
10431,34.07087,-118.56068,Private room in house,2,1 private bath,1.0,2.0
10438,34.04828,-118.32675,Private room in house,2,2 baths,1.0,1.0
10440,34.043279999999996,-118.33496000000001,Private room in house,1,1 shared bath,1.0,1.0
10441,34.054390000000005,-118.24835,Entire apartment,6,1 bath,1.0,1.0
10443,34.03221,-118.4422,Private room in house,3,1 private bath,1.0,2.0
10449,34.0085,-118.33405,Entire apartment,2,1 bath,1.0,1.0
10450,34.00877,-118.33463,Entire apartment,2,1 bath,1.0,2.0
10452,34.120129999999996,-118.19396,Private room in apartment,2,1 private bath,1.0,1.0
10458,34.0006,-118.44864,Entire bungalow,6,2 baths,3.0,3.0
10463,34.00875,-118.42625,Private room in apartment,1,1 private bath,1.0,2.0
10464,34.0577,-118.24951999999999,Entire apartment,4,1 bath,1.0,3.0
10471,34.13695,-118.40948,Private room in house,2,1.5 shared baths,1.0,1.0
10473,34.04672,-118.47553,Entire house,6,2.5 baths,2.0,4.0
10474,34.04761,-118.25200000000001,Entire loft,3,1 bath,1.0,1.0
10485,33.96483,-118.37952,Entire house,6,2 baths,3.0,4.0
10486,34.001459999999994,-118.45407,Entire house,4,1 bath,2.0,2.0
10487,33.95964,-118.45147,Entire guest suite,4,2 baths,2.0,3.0
10489,34.04503,-118.46593,Entire apartment,2,1 bath,1.0,1.0
10490,34.04502,-118.4647,Entire apartment,2,1 bath,1.0,1.0
10492,34.103,-118.34248000000001,Entire apartment,2,1 bath,1.0,1.0
10495,34.04567,-118.46466000000001,Entire apartment,1,1 bath,1.0,1.0
10496,34.1141,-118.3295,Entire villa,8,3.5 baths,4.0,4.0
10497,34.12677,-118.34683000000001,Entire apartment,6,1 bath,2.0,2.0
10498,34.007,-118.43018000000001,Entire apartment,2,1 bath,1.0,1.0
10500,34.27685,-118.36773000000001,Private room in house,2,1 private bath,1.0,1.0
10501,34.07258,-118.25523000000001,Private room in house,2,1 shared bath,1.0,1.0
10503,33.99454,-118.46508,Entire apartment,5,1 bath,2.0,2.0
10506,34.10341,-118.3429,Entire apartment,2,1 bath,1.0,1.0
10527,34.10298,-118.34136000000001,Entire apartment,2,1 bath,1.0,1.0
10537,34.10347,-118.34105,Entire apartment,2,1 bath,1.0,1.0
10542,34.103390000000005,-118.34223999999999,Entire apartment,2,1 bath,1.0,1.0
10543,34.10267,-118.34252,Entire apartment,2,1 bath,1.0,1.0
10550,34.048,-118.45918999999999,Private room in apartment,1,1 private bath,1.0,1.0
10554,34.121829999999996,-118.26767,Entire bungalow,4,1 bath,1.0,2.0
10558,34.02902,-118.23111000000002,Entire loft,8,2 baths,3.0,3.0
10560,34.042609999999996,-118.46467,Entire condominium,2,1 bath,1.0,1.0
10564,33.9807,-118.46671,Entire house,6,3.5 baths,3.0,3.0
10569,34.12914,-118.42073,Entire villa,8,2.5 baths,4.0,4.0
10570,34.11136,-118.4383,Entire house,6,3.5 baths,4.0,4.0
10571,34.10083,-118.33036000000001,Entire serviced apartment,6,1 bath,2.0,4.0
10576,34.10074,-118.32026,Private room in apartment,2,1 private bath,1.0,1.0
10583,33.73603,-118.29002,Entire apartment,4,1 bath,1.0,2.0
10588,33.958059999999996,-118.4389,Private room in apartment,2,1 shared bath,1.0,1.0
10595,34.09714,-118.27497,Entire house,6,2.5 baths,2.0,3.0
10596,34.05223,-118.42164,Entire townhouse,6,1 bath,2.0,2.0
10597,34.10172,-118.334,Entire apartment,8,2 baths,2.0,6.0
10599,34.05068,-118.42168000000001,Entire townhouse,4,1 bath,2.0,3.0
10602,34.082190000000004,-118.26215,Entire apartment,2,1 bath,1.0,1.0
10605,34.08038,-118.36974,Entire house,5,1.5 baths,2.0,4.0
10609,34.22537,-118.60864,Entire guest suite,2,1 bath,1.0,1.0
10612,34.20763,-118.43501,Private room in house,1,1.5 baths,1.0,1.0
10614,34.1105,-118.23234,Entire bungalow,4,1 bath,2.0,2.0
10617,34.03993,-118.46795,Private room in condominium,1,1 private bath,1.0,1.0
10620,34.20063,-118.43665,Entire condominium,5,2 baths,2.0,2.0
10624,34.02368,-118.36166000000001,Private room in house,1,1 shared bath,1.0,1.0
10629,34.10188,-118.35651999999999,Private room in house,2,1 private bath,1.0,1.0
10635,34.03685,-118.35167,Entire house,6,1 bath,3.0,3.0
